BootArgs: Version=2, Revision=0, at 0xffffff8017158000
CommandLine: 
Video: baseAddr=0xa0000000, display=1, rowBytes=6144, width=1440, height=900, depth=32
DevTree: addr=0x1715c000, length=0x13b0
Kernel image: kaddr=0x14500000, ksize=0x2d26000
EFI Runtime: Mode=64, PageStart=0x1715e (0x1715e000), PageCount=0xc4, SystemTable=0x171b3e10
MemoryMap: Size=0x3060, DescriptorSize=48, DescriptorVersion=1
Type       Physical Start   - Physical End     Number of Pages  Virtual Start    Attribute
BS_code    000000008a917000 - 000000008a919fff 0000000000000003 0000000000000000 000000000000000f
BS_data    000000008a91a000 - 000000008a91ffff 0000000000000006 0000000000000000 000000000000000f
BS_code    000000008a920000 - 000000008a924fff 0000000000000005 0000000000000000 000000000000000f
BS_data    000000008a925000 - 000000008a928fff 0000000000000004 0000000000000000 000000000000000f
BS_code    000000008a929000 - 000000008a929fff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000008a92a000 - 000000008ae49fff 0000000000000520 0000000000000000 000000000000000f
BS_code    000000008ae4a000 - 000000008ae4efff 0000000000000005 0000000000000000 000000000000000f
BS_data    000000008ae4f000 - 000000008b935fff 0000000000000ae7 0000000000000000 000000000000000f
BS_code    000000008b936000 - 000000008b93ffff 000000000000000a 0000000000000000 000000000000000f
BS_data    000000008b940000 - 000000008b94dfff 000000000000000e 0000000000000000 000000000000000f
BS_code    000000008b94e000 - 000000008b94ffff 0000000000000002 0000000000000000 000000000000000f
BS_data    000000008b950000 - 000000008b956fff 0000000000000007 0000000000000000 000000000000000f
BS_code    000000008b957000 - 000000008b958fff 0000000000000002 0000000000000000 000000000000000f
BS_data    000000008b959000 - 000000008b95bfff 0000000000000003 0000000000000000 000000000000000f
BS_code    000000008b95c000 - 000000008b95cfff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000008b95d000 - 000000008b968fff 000000000000000c 0000000000000000 000000000000000f
BS_code    000000008b969000 - 000000008b97bfff 0000000000000013 0000000000000000 000000000000000f
BS_data    000000008b97c000 - 000000008b984fff 0000000000000009 0000000000000000 000000000000000f
BS_code    000000008b985000 - 000000008b985fff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000008b986000 - 000000008b992fff 000000000000000d 0000000000000000 000000000000000f
BS_code    000000008b993000 - 000000008b996fff 0000000000000004 0000000000000000 000000000000000f
BS_data    000000008b997000 - 000000008b99dfff 0000000000000007 0000000000000000 000000000000000f
BS_code    000000008b99e000 - 000000008b99efff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000008b99f000 - 000000008b9a0fff 0000000000000002 0000000000000000 000000000000000f
BS_code    000000008b9a1000 - 000000008b9a1fff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000008b9a2000 - 000000008b9a7fff 0000000000000006 0000000000000000 000000000000000f
BS_code    000000008b9a8000 - 000000008b9a9fff 0000000000000002 0000000000000000 000000000000000f
BS_data    000000008b9aa000 - 000000008b9e8fff 000000000000003f 0000000000000000 000000000000000f
BS_code    000000008b9e9000 - 000000008b9f1fff 0000000000000009 0000000000000000 000000000000000f
BS_data    000000008b9f2000 - 000000008b9f5fff 0000000000000004 0000000000000000 000000000000000f
BS_code    000000008b9f6000 - 000000008b9f8fff 0000000000000003 0000000000000000 000000000000000f
BS_data    000000008b9f9000 - 000000008ba3bfff 0000000000000043 0000000000000000 000000000000000f
BS_code    000000008ba3c000 - 000000008ba62fff 0000000000000027 0000000000000000 000000000000000f
BS_data    000000008ba63000 - 000000008ba76fff 0000000000000014 0000000000000000 000000000000000f
BS_code    000000008ba77000 - 000000008ba80fff 000000000000000a 0000000000000000 000000000000000f
BS_data    000000008ba81000 - 000000008ba8afff 000000000000000a 0000000000000000 000000000000000f
BS_code    000000008ba8b000 - 000000008ba9afff 0000000000000010 0000000000000000 000000000000000f
BS_data    000000008ba9b000 - 000000008ba9ffff 0000000000000005 0000000000000000 000000000000000f
BS_code    000000008baa0000 - 000000008baa1fff 0000000000000002 0000000000000000 000000000000000f
BS_data    000000008baa2000 - 000000008baa4fff 0000000000000003 0000000000000000 000000000000000f
BS_code    000000008baa5000 - 000000008baa5fff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000008baa6000 - 000000008baa8fff 0000000000000003 0000000000000000 000000000000000f
BS_code    000000008baa9000 - 000000008bab5fff 000000000000000d 0000000000000000 000000000000000f
BS_data    000000008bab6000 - 000000008bab6fff 0000000000000001 0000000000000000 000000000000000f
BS_code    000000008bab7000 - 000000008bab7fff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000008bab8000 - 000000008babbfff 0000000000000004 0000000000000000 000000000000000f
BS_code    000000008babc000 - 000000008babcfff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000008babd000 - 000000008babdfff 0000000000000001 0000000000000000 000000000000000f
BS_code    000000008babe000 - 000000008babffff 0000000000000002 0000000000000000 000000000000000f
BS_data    000000008bac0000 - 000000008bac0fff 0000000000000001 0000000000000000 000000000000000f
BS_code    000000008bac1000 - 000000008bac2fff 0000000000000002 0000000000000000 000000000000000f
BS_data    000000008bac3000 - 000000008bac6fff 0000000000000004 0000000000000000 000000000000000f
BS_code    000000008bac7000 - 000000008bad5fff 000000000000000f 0000000000000000 000000000000000f
BS_data    000000008bad6000 - 000000008bad8fff 0000000000000003 0000000000000000 000000000000000f
BS_code    000000008bad9000 - 000000008badffff 0000000000000007 0000000000000000 000000000000000f
BS_data    000000008bae0000 - 000000008bae2fff 0000000000000003 0000000000000000 000000000000000f
BS_code    000000008bae3000 - 000000008bae8fff 0000000000000006 0000000000000000 000000000000000f
BS_data    000000008bae9000 - 000000008baf4fff 000000000000000c 0000000000000000 000000000000000f
BS_code    000000008baf5000 - 000000008baf9fff 0000000000000005 0000000000000000 000000000000000f
BS_data    000000008bafa000 - 000000008bafffff 0000000000000006 0000000000000000 000000000000000f
BS_code    000000008bb00000 - 000000008bb19fff 000000000000001a 0000000000000000 000000000000000f
BS_data    000000008bb1a000 - 000000008bb1cfff 0000000000000003 0000000000000000 000000000000000f
BS_code    000000008bb1d000 - 000000008bb2cfff 0000000000000010 0000000000000000 000000000000000f
BS_data    000000008bb2d000 - 000000008bb2dfff 0000000000000001 0000000000000000 000000000000000f
BS_code    000000008bb2e000 - 000000008bb2ffff 0000000000000002 0000000000000000 000000000000000f
BS_data    000000008bb30000 - 000000008bb33fff 0000000000000004 0000000000000000 000000000000000f
BS_code    000000008bb34000 - 000000008bb44fff 0000000000000011 0000000000000000 000000000000000f
BS_data    000000008bb45000 - 000000008bb45fff 0000000000000001 0000000000000000 000000000000000f
BS_code    000000008bb46000 - 000000008bb49fff 0000000000000004 0000000000000000 000000000000000f
BS_data    000000008bb4a000 - 000000008bb4dfff 0000000000000004 0000000000000000 000000000000000f
BS_code    000000008bb4e000 - 000000008bb51fff 0000000000000004 0000000000000000 000000000000000f
BS_data    000000008bb52000 - 000000008bb59fff 0000000000000008 0000000000000000 000000000000000f
BS_code    000000008bb5a000 - 000000008bb5cfff 0000000000000003 0000000000000000 000000000000000f
BS_data    000000008bb5d000 - 000000008bb5efff 0000000000000002 0000000000000000 000000000000000f
BS_code    000000008bb5f000 - 000000008bb63fff 0000000000000005 0000000000000000 000000000000000f
BS_data    000000008bb64000 - 000000008bb67fff 0000000000000004 0000000000000000 000000000000000f
BS_code    000000008bb68000 - 000000008bb6bfff 0000000000000004 0000000000000000 000000000000000f
BS_data    000000008bb6c000 - 000000008bb6cfff 0000000000000001 0000000000000000 000000000000000f
BS_code    000000008bb6d000 - 000000008bb6ffff 0000000000000003 0000000000000000 000000000000000f
BS_data    000000008bb70000 - 000000008bb71fff 0000000000000002 0000000000000000 000000000000000f
BS_code    000000008bb72000 - 000000008bb8dfff 000000000000001c 0000000000000000 000000000000000f
BS_data    000000008bb8e000 - 000000008bb8efff 0000000000000001 0000000000000000 000000000000000f
BS_code    000000008bb8f000 - 000000008bb98fff 000000000000000a 0000000000000000 000000000000000f
BS_data    000000008bb99000 - 000000008bb99fff 0000000000000001 0000000000000000 000000000000000f
BS_code    000000008bb9a000 - 000000008bb9afff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000008bb9b000 - 000000008bb9bfff 0000000000000001 0000000000000000 000000000000000f
BS_code    000000008bb9c000 - 000000008bbaafff 000000000000000f 0000000000000000 000000000000000f
BS_code    000000008bc07000 - 000000008bc07fff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000008bc08000 - 000000008bc09fff 0000000000000002 0000000000000000 000000000000000f
BS_code    000000008bc0a000 - 000000008bc0afff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000008bc0b000 - 000000008bc1cfff 0000000000000012 0000000000000000 000000000000000f
BS_code    000000008bc1d000 - 000000008bc2afff 000000000000000e 0000000000000000 000000000000000f
BS_data    000000008bc2b000 - 000000008bc3efff 0000000000000014 0000000000000000 000000000000000f
BS_code    000000008bc3f000 - 000000008bc41fff 0000000000000003 0000000000000000 000000000000000f
BS_data    000000008bc42000 - 000000008bc47fff 0000000000000006 0000000000000000 000000000000000f
BS_code    000000008bc48000 - 000000008bc4bfff 0000000000000004 0000000000000000 000000000000000f
BS_data    000000008bc4c000 - 000000008bc74fff 0000000000000029 0000000000000000 000000000000000f
BS_code    000000008bc75000 - 000000008bc86fff 0000000000000012 0000000000000000 000000000000000f
BS_data    000000008bc87000 - 000000008bc98fff 0000000000000012 0000000000000000 000000000000000f
BS_code    000000008bc99000 - 000000008bc9efff 0000000000000006 0000000000000000 000000000000000f
BS_data    000000008bc9f000 - 000000008bcb0fff 0000000000000012 0000000000000000 000000000000000f
BS_code    000000008bcb1000 - 000000008bcb2fff 0000000000000002 0000000000000000 000000000000000f
BS_data    000000008bcb3000 - 000000008bcbafff 0000000000000008 0000000000000000 000000000000000f
BS_code    000000008bcbb000 - 000000008bcc1fff 0000000000000007 0000000000000000 000000000000000f
BS_data    000000008bcc2000 - 000000008bcc9fff 0000000000000008 0000000000000000 000000000000000f
BS_code    000000008bcca000 - 000000008bccafff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000008bccb000 - 000000008bcccfff 0000000000000002 0000000000000000 000000000000000f
BS_code    000000008bccd000 - 000000008bccdfff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000008bcce000 - 000000008bccffff 0000000000000002 0000000000000000 000000000000000f
BS_code    000000008bcd0000 - 000000008bcd0fff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000008bbab000 - 000000008bbabfff 0000000000000001 0000000000000000 000000000000000f
BS_code    000000008bbac000 - 000000008bbb2fff 0000000000000007 0000000000000000 000000000000000f
BS_data    000000008bbb3000 - 000000008bbb7fff 0000000000000005 0000000000000000 000000000000000f
BS_code    000000008bbb8000 - 000000008bbbdfff 0000000000000006 0000000000000000 000000000000000f
BS_data    000000008bbbe000 - 000000008bbbffff 0000000000000002 0000000000000000 000000000000000f
BS_code    000000008bbc0000 - 000000008bbc5fff 0000000000000006 0000000000000000 000000000000000f
BS_data    000000008bbc6000 - 000000008bbc6fff 0000000000000001 0000000000000000 000000000000000f
BS_code    000000008bbc7000 - 000000008bbc7fff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000008bbc8000 - 000000008bbcafff 0000000000000003 0000000000000000 000000000000000f
BS_code    000000008bbcb000 - 000000008bbcbfff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000008bbcc000 - 000000008bbd0fff 0000000000000005 0000000000000000 000000000000000f
BS_code    000000008bbd1000 - 000000008bbd1fff 0000000000000001 0000000000000000 000000000000000f
